Year,Items,Sub-Items,Value in Thousand
2000,Number of Direct Exchange Line [DEL] Connections,Residential,3392
2001,Number of Direct Exchange Line [DEL] Connections,Residential,3400
2002,Number of Direct Exchange Line [DEL] Connections,Residential,3323
2003,Number of Direct Exchange Line [DEL] Connections,Residential,3194
2004,Number of Direct Exchange Line [DEL] Connections,Residential,2938
2005,Number of Direct Exchange Line [DEL] Connections,Residential,2839
2006,Number of Direct Exchange Line [DEL] Connections,Residential,2831
2007,Number of Direct Exchange Line [DEL] Connections,Residential,2851
2008,Number of Direct Exchange Line [DEL] Connections,Residential,2734
2009,Number of Direct Exchange Line [DEL] Connections,Residential,2734
2010,Number of Direct Exchange Line [DEL] Connections,Residential,2804
2011,Number of Direct Exchange Line [DEL] Connections,Residential,2491
2012,Number of Direct Exchange Line [DEL] Connections,Residential,2320
2013,Number of Direct Exchange Line [DEL] Connections,Residential,2247
2014,Number of Direct Exchange Line [DEL] Connections,Residential,2129
2015,Number of Direct Exchange Line [DEL] Connections,Residential,2089
2016,Number of Direct Exchange Line [DEL] Connections,Residential,1981
2017,Number of Direct Exchange Line [DEL] Connections,Residential,1758
2018,Number of Direct Exchange Line [DEL] Connections,Residential,1456
2019,Number of Direct Exchange Line [DEL] Connections,Residential,1203
2020,Number of Direct Exchange Line [DEL] Connections,Residential,1007
2021,Number of Direct Exchange Line [DEL] Connections,Residential,680
2000,Number of Direct Exchange Line [DEL] Connections,Business,1236
2001,Number of Direct Exchange Line [DEL] Connections,Business,1310
2002,Number of Direct Exchange Line [DEL] Connections,Business,1347
2003,Number of Direct Exchange Line [DEL] Connections,Business,1378
2004,Number of Direct Exchange Line [DEL] Connections,Business,1508
2005,Number of Direct Exchange Line [DEL] Connections,Business,1527
2006,Number of Direct Exchange Line [DEL] Connections,Business,1511
2007,Number of Direct Exchange Line [DEL] Connections,Business,1499
2008,Number of Direct Exchange Line [DEL] Connections,Business,1558
2009,Number of Direct Exchange Line [DEL] Connections,Business,1578
2010,Number of Direct Exchange Line [DEL] Connections,Business,1600
2011,Number of Direct Exchange Line [DEL] Connections,Business,1600
2012,Number of Direct Exchange Line [DEL] Connections,Business,1544
2013,Number of Direct Exchange Line [DEL] Connections,Business,1499
2014,Number of Direct Exchange Line [DEL] Connections,Business,1435
2015,Number of Direct Exchange Line [DEL] Connections,Business,1377
2016,Number of Direct Exchange Line [DEL] Connections,Business,1318
2017,Number of Direct Exchange Line [DEL] Connections,Business,1198
2018,Number of Direct Exchange Line [DEL] Connections,Business,1099
2019,Number of Direct Exchange Line [DEL] Connections,Business,996
2020,Number of Direct Exchange Line [DEL] Connections,Business,892
2021,Number of Direct Exchange Line [DEL] Connections,Business,697
2000,Public payphones,Public payphones,149
2001,Public payphones,Public payphones,125
2002,Public payphones,Public payphones,118
2003,Public payphones,Public payphones,114
2004,Public payphones,Public payphones,105
2005,Public payphones,Public payphones,95
2006,Public payphones,Public payphones,87
2007,Public payphones,Public payphones,77
2008,Public payphones,Public payphones,75
2009,Public payphones,Public payphones,79
2010,Public payphones,Public payphones,39
2011,Public payphones,Public payphones,44
2012,Public payphones,Public payphones,42
2013,Public payphones,Public payphones,22
2014,Public payphones,Public payphones,0
2015,Public payphones,Public payphones,0
2016,Public payphones,Public payphones,0
2017,Public payphones,Public payphones,0.3
2018,Public payphones,Public payphones,0.2
2019,Public payphones,Public payphones,0
2020,Public payphones,Public payphones,0
2021,Public payphones,Public payphones,0
2000,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,5122
2001,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,7385
2002,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,9053
2003,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,11124
2004,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,14611
2005,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,19545
2006,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,19464
2007,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,23347
2008,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,27713
2009,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,30144
2010,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,33859
2011,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,36661
2012,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,41325
2013,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,42996
2014,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,44929
2015,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,44111
2016,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,43913
2017,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,42339
2018,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,42413
2019,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,44600.691
2020,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,43724
2021,Number of Cellular phones subscriptions,Number of Cellular phones subscriptions,47202
2000,Number of Cellular phones subscriptions,Post paid,0
2001,Number of Cellular phones subscriptions,Post paid,0
2002,Number of Cellular phones subscriptions,Post paid,0
2003,Number of Cellular phones subscriptions,Post paid,0
2004,Number of Cellular phones subscriptions,Post paid,2555
2005,Number of Cellular phones subscriptions,Post paid,2925
2006,Number of Cellular phones subscriptions,Post paid,3368
2007,Number of Cellular phones subscriptions,Post paid,3905
2008,Number of Cellular phones subscriptions,Post paid,5544
2009,Number of Cellular phones subscriptions,Post paid,6265
2010,Number of Cellular phones subscriptions,Post paid,6716
2011,Number of Cellular phones subscriptions,Post paid,7067
2012,Number of Cellular phones subscriptions,Post paid,7375
2013,Number of Cellular phones subscriptions,Post paid,7763
2014,Number of Cellular phones subscriptions,Post paid,8149
2015,Number of Cellular phones subscriptions,Post paid,8740
2016,Number of Cellular phones subscriptions,Post paid,9639
2017,Number of Cellular phones subscriptions,Post paid,10231
2018,Number of Cellular phones subscriptions,Post paid,11576
2019,Number of Cellular phones subscriptions,Post paid,13341.686
2020,Number of Cellular phones subscriptions,Post paid,13571
2021,Number of Cellular phones subscriptions,Post paid,14179
2000,Number of Cellular phones subscriptions,Prepaid,0
2001,Number of Cellular phones subscriptions,Prepaid,0
2002,Number of Cellular phones subscriptions,Prepaid,0
2003,Number of Cellular phones subscriptions,Prepaid,0
2004,Number of Cellular phones subscriptions,Prepaid,12057
2005,Number of Cellular phones subscriptions,Prepaid,16620
2006,Number of Cellular phones subscriptions,Prepaid,16096
2007,Number of Cellular phones subscriptions,Prepaid,19442
2008,Number of Cellular phones subscriptions,Prepaid,22169
2009,Number of Cellular phones subscriptions,Prepaid,23879
2010,Number of Cellular phones subscriptions,Prepaid,27143
2011,Number of Cellular phones subscriptions,Prepaid,29595
2012,Number of Cellular phones subscriptions,Prepaid,33950
2013,Number of Cellular phones subscriptions,Prepaid,35233
2014,Number of Cellular phones subscriptions,Prepaid,36780
2015,Number of Cellular phones subscriptions,Prepaid,35371
2016,Number of Cellular phones subscriptions,Prepaid,34273
2017,Number of Cellular phones subscriptions,Prepaid,32107
2018,Number of Cellular phones subscriptions,Prepaid,30837
2019,Number of Cellular phones subscriptions,Prepaid,31259.005
2020,Number of Cellular phones subscriptions,Prepaid,30153
2021,Number of Cellular phones subscriptions,Prepaid,33023
2000,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),0
2001,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),0
2002,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),0
2003,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),0
2004,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),9.5
2005,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),22
2006,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),33.4
2007,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),56.9
2008,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),73.2
2009,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),89.4
2010,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),96.8
2011,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),93.1
2012,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),90.9
2013,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),76.9
2014,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),49.2
2015,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),25.9
2016,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),15
2017,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),8.6
2018,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),5.8
2019,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),4.5
2020,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),0.5
2021,Number of short message services (SMS)sent (billion),Number of short message services (SMS)sent (billion),0.7
2000,Number of 3G subscriptions,Postpaid,0
2001,Number of 3G subscriptions,Postpaid,0
2002,Number of 3G subscriptions,Postpaid,0
2003,Number of 3G subscriptions,Postpaid,0
2004,Number of 3G subscriptions,Postpaid,0
2005,Number of 3G subscriptions,Postpaid,0
2006,Number of 3G subscriptions,Postpaid,0
2007,Number of 3G subscriptions,Postpaid,825
2008,Number of 3G subscriptions,Postpaid,2014
2009,Number of 3G subscriptions,Postpaid,2993
2010,Number of 3G subscriptions,Postpaid,3529
2011,Number of 3G subscriptions,Postpaid,3920
2012,Number of 3G subscriptions,Postpaid,4055
2013,Number of 3G subscriptions,Postpaid,4794
2014,Number of 3G subscriptions,Postpaid,0
2015,Number of 3G subscriptions,Postpaid,0
2016,Number of 3G subscriptions,Postpaid,0
2017,Number of 3G subscriptions,Postpaid,0
2018,Number of 3G subscriptions,Postpaid,0
2019,Number of 3G subscriptions,Postpaid,0
2020,Number of 3G subscriptions,Postpaid,0
2021,Number of 3G subscriptions,Postpaid,0
2000,Number of 3G subscriptions,Prepaid,0
2001,Number of 3G subscriptions,Prepaid,0
2002,Number of 3G subscriptions,Prepaid,0
2003,Number of 3G subscriptions,Prepaid,0
2004,Number of 3G subscriptions,Prepaid,0
2005,Number of 3G subscriptions,Prepaid,0
2006,Number of 3G subscriptions,Prepaid,0
2007,Number of 3G subscriptions,Prepaid,730
2008,Number of 3G subscriptions,Prepaid,2352
2009,Number of 3G subscriptions,Prepaid,4354
2010,Number of 3G subscriptions,Prepaid,5073
2011,Number of 3G subscriptions,Prepaid,6415
2012,Number of 3G subscriptions,Prepaid,10506
2013,Number of 3G subscriptions,Prepaid,13235
2014,Number of 3G subscriptions,Prepaid,0
2015,Number of 3G subscriptions,Prepaid,0
2016,Number of 3G subscriptions,Prepaid,0
2017,Number of 3G subscriptions,Prepaid,0
2018,Number of 3G subscriptions,Prepaid,0
2019,Number of 3G subscriptions,Prepaid,0
2020,Number of 3G subscriptions,Prepaid,0
2021,Number of 3G subscriptions,Prepaid,0
2000,Number of broadband subscriptions,Number of broadband subscriptions,0
2001,Number of broadband subscriptions,Number of broadband subscriptions,0
2002,Number of broadband subscriptions,Number of broadband subscriptions,19.3
2003,Number of broadband subscriptions,Number of broadband subscriptions,110.4
2004,Number of broadband subscriptions,Number of broadband subscriptions,252.5
2005,Number of broadband subscriptions,Number of broadband subscriptions,502
2006,Number of broadband subscriptions,Number of broadband subscriptions,899
2007,Number of broadband subscriptions,Number of broadband subscriptions,1105.3
2008,Number of broadband subscriptions,Number of broadband subscriptions,1689.8
2009,Number of broadband subscriptions,Number of broadband subscriptions,2472.3
2010,Number of broadband subscriptions,Number of broadband subscriptions,4464.9
2011,Number of broadband subscriptions,Number of broadband subscriptions,5686.9
2012,Number of broadband subscriptions,Number of broadband subscriptions,6115.1
2013,Number of broadband subscriptions,Number of broadband subscriptions,6373.3
2014,Number of broadband subscriptions,Number of broadband subscriptions,9598.956526
2015,Number of broadband subscriptions,Number of broadband subscriptions,30822
2016,Number of broadband subscriptions,Number of broadband subscriptions,0
2017,Number of broadband subscriptions,Number of broadband subscriptions,0
2018,Number of broadband subscriptions,Number of broadband subscriptions,0
2019,Number of broadband subscriptions,Number of broadband subscriptions,0
2020,Number of broadband subscriptions,Number of broadband subscriptions,0
2021,Number of broadband subscriptions,Number of broadband subscriptions,0
2000,Number of broadband subscriptions,Wireless,0
2001,Number of broadband subscriptions,Wireless,0
2002,Number of broadband subscriptions,Wireless,0
2003,Number of broadband subscriptions,Wireless,0
2004,Number of broadband subscriptions,Wireless,0
2005,Number of broadband subscriptions,Wireless,0
2006,Number of broadband subscriptions,Wireless,0
2007,Number of broadband subscriptions,Wireless,96.4
2008,Number of broadband subscriptions,Wireless,386.2
2009,Number of broadband subscriptions,Wireless,927.8
2010,Number of broadband subscriptions,Wireless,2638.9
2011,Number of broadband subscriptions,Wireless,3403.5
2012,Number of broadband subscriptions,Wireless,3620.1
2013,Number of broadband subscriptions,Wireless,3811.8
2014,Number of broadband subscriptions,Wireless,6681.5
2015,Number of broadband subscriptions,Wireless,27759
2016,Number of broadband subscriptions,Wireless,0
2017,Number of broadband subscriptions,Wireless,0
2018,Number of broadband subscriptions,Wireless,0
2019,Number of broadband subscriptions,Wireless,0
2020,Number of broadband subscriptions,Wireless,0
2021,Number of broadband subscriptions,Wireless,0
2000,Number of broadband subscriptions,Fixed,0
2001,Number of broadband subscriptions,Fixed,0
2002,Number of broadband subscriptions,Fixed,0
2003,Number of broadband subscriptions,Fixed,0
2004,Number of broadband subscriptions,Fixed,0
2005,Number of broadband subscriptions,Fixed,0
2006,Number of broadband subscriptions,Fixed,0
2007,Number of broadband subscriptions,Fixed,1008.9
2008,Number of broadband subscriptions,Fixed,1303.6
2009,Number of broadband subscriptions,Fixed,1544.5
2010,Number of broadband subscriptions,Fixed,1826
2011,Number of broadband subscriptions,Fixed,2004.2
2012,Number of broadband subscriptions,Fixed,2215.8
2013,Number of broadband subscriptions,Fixed,2374.4
2014,Number of broadband subscriptions,Fixed,2917.4
2015,Number of broadband subscriptions,Fixed,3063
2016,Number of broadband subscriptions,Fixed,0
2017,Number of broadband subscriptions,Fixed,0
2018,Number of broadband subscriptions,Fixed,0
2019,Number of broadband subscriptions,Fixed,0
2020,Number of broadband subscriptions,Fixed,0
2021,Number of broadband subscriptions,Fixed,0
2000,1 Malaysia Netbook,1 Malaysia Netbook,0
2001,1 Malaysia Netbook,1 Malaysia Netbook,0
2002,1 Malaysia Netbook,1 Malaysia Netbook,0
2003,1 Malaysia Netbook,1 Malaysia Netbook,0
2004,1 Malaysia Netbook,1 Malaysia Netbook,0
2005,1 Malaysia Netbook,1 Malaysia Netbook,0
2006,1 Malaysia Netbook,1 Malaysia Netbook,0
2007,1 Malaysia Netbook,1 Malaysia Netbook,0
2008,1 Malaysia Netbook,1 Malaysia Netbook,0
2009,1 Malaysia Netbook,1 Malaysia Netbook,0
2010,1 Malaysia Netbook,1 Malaysia Netbook,0
2011,1 Malaysia Netbook,1 Malaysia Netbook,279.2
2012,1 Malaysia Netbook,1 Malaysia Netbook,279.2
2013,1 Malaysia Netbook,1 Malaysia Netbook,187.1
2014,1 Malaysia Netbook,1 Malaysia Netbook,0
2015,1 Malaysia Netbook,1 Malaysia Netbook,0
2016,1 Malaysia Netbook,1 Malaysia Netbook,0
2017,1 Malaysia Netbook,1 Malaysia Netbook,0
2018,1 Malaysia Netbook,1 Malaysia Netbook,0
2019,1 Malaysia Netbook,1 Malaysia Netbook,0
2020,1 Malaysia Netbook,1 Malaysia Netbook,0
2021,1 Malaysia Netbook,1 Malaysia Netbook,0
